id,property_type,neighborhood,original_price,sale_price,days_to_sell,agent
921,Condo,West Seattle,788738,716565,108,David Miller
922,House,Beacon Hill,1185831,1334662,103,Chris Taylor
923,House,Northgate,313410,346773,28,David Johnson
924,Apartment,Beacon Hill,515017,588829,9,John Williams
925,Condo,Capitol Hill,1405855,1618646,43,David Davis
926,Apartment,Downtown,872287,849975,6,Chris Miller
927,House,South Lake Union,1307270,1465608,31,Jane Brown
928,Apartment,Downtown,542168,550143,74,Mike Davis
929,Apartment,Beacon Hill,1349769,1269650,24,Lisa Jones
930,Apartment,Northgate,609167,646645,103,Jane Williams
931,Apartment,South Lake Union,1054568,1133472,34,Sarah Moore
932,Condo,Capitol Hill,361999,417613,69,Tom Wilson
933,Condo,Northgate,810484,775044,28,Chris Jones
934,Condo,West Seattle,1160439,1319192,94,Emily Johnson
935,Apartment,Beacon Hill,913295,952283,59,Chris Johnson
936,Apartment,Ballard,354803,412591,72,Emily Johnson
937,House,Northgate,657906,689159,41,Sarah Taylor
938,House,South Lake Union,719868,838461,76,Sarah Davis
939,Apartment,Downtown,509289,469838,51,Lisa Smith
940,Condo,Beacon Hill,698763,646910,70,Chris Smith
941,Apartment,South Lake Union,314108,285401,71,Emily Brown
942,House,West Seattle,1141411,1167643,84,Sarah Williams
943,House,Northgate,1417561,1547599,3,Jane Brown
944,Condo,Northgate,583581,617684,56,John Davis
945,Apartment,South Lake Union,1180080,1380053,51,Mike Brown
946,House,Northgate,508150,532314,49,Jane Davis
947,Apartment,West Seattle,1007242,957601,15,Emily Smith
948,Apartment,Capitol Hill,900918,1015021,50,Tom Taylor
949,Condo,Ballard,1280962,1297785,55,Sarah Smith
950,Condo,Capitol Hill,1153185,1147600,64,Lisa Jones
951,Condo,South Lake Union,1247399,1194314,120,Lisa Smith
952,House,South Lake Union,302648,341286,54,John Williams
953,Apartment,Northgate,1292640,1331598,23,Sarah Moore
954,Apartment,West Seattle,1484215,1400444,93,Emily Davis
955,Apartment,Ballard,717163,745149,55,Sarah Moore
956,Condo,Ballard,587334,576729,99,David Williams
957,Condo,Capitol Hill,805615,869150,4,Sarah Taylor
958,House,Ballard,392207,392104,53,Lisa Johnson
959,Condo,Beacon Hill,817691,858750,95,Chris Brown
960,House,South Lake Union,451066,418263,87,Mike Davis
961,Condo,Northgate,1044071,1191517,29,Emily Davis
962,Condo,Downtown,1098598,992227,11,David Miller
963,House,South Lake Union,707738,678650,50,Chris Moore
964,Apartment,Beacon Hill,860547,974786,45,Lisa Johnson
965,Apartment,Northgate,678858,651194,87,Sarah Brown
966,Apartment,Ballard,1400756,1376868,18,Lisa Moore
967,Condo,Capitol Hill,1151319,1298928,43,Jane Wilson
968,Condo,South Lake Union,686526,635020,108,Mike Taylor
969,Condo,South Lake Union,956330,916216,28,Chris Smith
970,Apartment,Capitol Hill,543861,538991,8,Mike Taylor
971,Condo,South Lake Union,563205,543739,116,Emily Smith
972,House,Northgate,1389828,1621354,37,Chris Jones
973,Condo,Ballard,443703,425087,58,Emily Jones
974,Condo,Downtown,342575,395614,14,Chris Smith
975,House,Downtown,635393,733525,70,David Williams
976,Condo,West Seattle,510143,596537,21,Laura Moore
977,House,Beacon Hill,1209430,1263547,21,Mike Miller
978,House,Northgate,932108,1097498,81,Laura Taylor
979,House,South Lake Union,1023100,1153696,5,Laura Williams
980,Condo,West Seattle,907844,1060784,49,John Taylor
981,Condo,Beacon Hill,974084,1074745,85,Sarah Moore
982,Apartment,West Seattle,1075051,1011623,64,Mike Davis
983,Apartment,Downtown,308383,312590,1,Tom Jones
984,Condo,Ballard,452259,498334,102,Mike Moore
985,Apartment,South Lake Union,602013,677033,67,Tom Williams
986,Apartment,South Lake Union,980790,969652,47,John Davis
987,House,Capitol Hill,611204,689796,10,Chris Miller
988,Apartment,West Seattle,1332129,1529889,33,John Miller
989,Condo,Beacon Hill,938471,1039376,83,Sarah Moore
990,House,Northgate,476338,435497,119,Tom Williams
991,House,Downtown,832156,907543,81,Tom Williams
992,Apartment,Downtown,1353304,1415067,89,David Williams
993,House,Downtown,1277627,1211985,71,Chris Smith
994,Apartment,South Lake Union,318520,305956,115,Emily Smith
995,Condo,Capitol Hill,358107,363615,115,Emily Johnson
996,Condo,Downtown,1368424,1485199,2,Chris Taylor
997,Apartment,Downtown,784307,825319,19,John Williams
998,Apartment,Beacon Hill,1478012,1669720,99,Emily Moore
999,Condo,Northgate,1240755,1390090,86,David Miller
1000,Condo,Beacon Hill,611405,577866,31,Jane Brown
1001,Condo,Northgate,761973,858573,5,Emily Johnson
1002,Condo,Beacon Hill,593235,612975,44,Tom Smith
1003,House,Ballard,672470,767865,112,Emily Williams
1004,House,Downtown,422786,452345,50,John Williams
1005,Condo,Downtown,945189,997791,88,Tom Wilson
1006,House,Capitol Hill,1321036,1193600,47,Laura Smith
1007,Apartment,Northgate,791043,730372,58,Tom Taylor
1008,Condo,Downtown,954515,899957,65,Jane Smith
1009,House,South Lake Union,1075290,1195387,4,Tom Jones
1010,Apartment,Northgate,935285,862382,102,Mike Miller
1011,Apartment,West Seattle,467701,456211,32,Laura Moore
1012,House,Beacon Hill,590665,589110,25,Chris Jones
1013,Condo,Ballard,1034404,1151426,75,John Moore
1014,House,Capitol Hill,908784,917781,110,Laura Johnson
1015,Apartment,West Seattle,1289328,1462179,68,Emily Davis
1016,House,Northgate,1294650,1479071,35,Chris Johnson
1017,House,Beacon Hill,1415933,1616570,2,Sarah Taylor
1018,Condo,Capitol Hill,1222168,1439757,53,Lisa Johnson
1019,House,Beacon Hill,728759,669770,26,Lisa Davis
1020,House,Capitol Hill,1270954,1389218,3,Emily Williams
1021,House,Northgate,478947,558590,22,Lisa Jones
1022,Condo,Beacon Hill,1343396,1512125,112,Tom Davis
1023,Apartment,Ballard,1261724,1149398,74,Tom Taylor
1024,Condo,Downtown,950444,858062,43,Chris Taylor
1025,Condo,Ballard,621088,583538,69,Emily Wilson
1026,Apartment,Downtown,344100,356206,20,David Williams
1027,Condo,Downtown,405084,368894,45,Emily Johnson
1028,Condo,Downtown,1162006,1148939,45,John Taylor
1029,Condo,Northgate,1353563,1448705,44,Mike Brown
1030,Condo,West Seattle,437321,449634,7,Emily Brown
1031,Apartment,Capitol Hill,1307177,1186308,18,Laura Johnson
1032,Apartment,Downtown,530784,538635,108,Laura Davis
1033,House,South Lake Union,941629,898954,96,Lisa Smith
1034,House,Capitol Hill,685826,712839,72,Mike Johnson
1035,House,Ballard,820996,746152,40,David Miller
1036,House,Beacon Hill,1221967,1338247,44,Mike Moore
1037,Apartment,Downtown,1111494,1318504,72,Lisa Jones
1038,House,Northgate,974826,973185,83,Chris Brown
1039,House,West Seattle,349961,329466,88,Emily Wilson
1040,House,South Lake Union,794787,953481,7,Jane Johnson
1041,House,Beacon Hill,1179871,1219296,4,Laura Taylor
1042,House,Ballard,1300510,1467530,15,Emily Jones
1043,Condo,Northgate,394787,375620,114,Lisa Wilson
1044,House,Northgate,1004891,1167925,97,David Williams
1045,House,Ballard,1447246,1349102,108,Emily Jones
1046,Apartment,Northgate,1357261,1238217,97,David Williams
1047,Apartment,Beacon Hill,675590,742597,82,Emily Smith
1048,Apartment,West Seattle,594381,643661,4,David Johnson
1049,House,Downtown,759613,692160,117,Laura Brown
1050,Condo,South Lake Union,652976,626450,80,Laura Taylor
1051,House,Beacon Hill,1179126,1063634,53,Tom Williams
1052,House,Ballard,1349804,1289235,69,Lisa Moore
1053,Condo,Ballard,560403,511825,54,Mike Williams
1054,Condo,West Seattle,528839,513091,45,Mike Jones
1055,Condo,Ballard,1374763,1494064,1,Laura Johnson
1056,Condo,Beacon Hill,1032139,1212037,10,Chris Taylor
1057,Apartment,Downtown,627058,630025,76,Mike Davis
1058,House,West Seattle,1418593,1647723,29,Chris Brown
1059,Apartment,Northgate,1034977,1064994,29,Tom Jones
1060,Apartment,Downtown,1487507,1558151,77,Mike Williams
1061,Condo,Northgate,753146,684373,46,Emily Davis
1062,Condo,Northgate,1293679,1430920,92,Jane Johnson
1063,Condo,Downtown,866556,798501,29,Lisa Smith
1064,House,Northgate,1327327,1206288,63,Tom Jones
1065,Apartment,West Seattle,1082141,1031991,52,Lisa Smith
1066,Condo,Capitol Hill,832923,839292,12,Mike Jones
1067,Condo,South Lake Union,1348878,1557619,101,Chris Miller
1068,Apartment,Capitol Hill,868144,818481,5,Lisa Moore
1069,Condo,Ballard,883015,815103,58,Emily Brown
1070,Apartment,Beacon Hill,657350,604035,79,Tom Williams
1071,Condo,West Seattle,1349315,1538237,7,Lisa Johnson
1072,Condo,West Seattle,841339,766697,34,Emily Wilson
1073,Condo,Ballard,1207420,1166040,26,Chris Brown
1074,Apartment,Ballard,342651,333188,39,John Williams
1075,Condo,Ballard,1249042,1461392,54,John Miller
1076,House,West Seattle,596760,575900,51,Tom Jones
1077,Condo,Beacon Hill,736656,715791,11,Mike Williams
1078,House,West Seattle,980235,994696,5,Emily Smith
1079,Apartment,Capitol Hill,540563,609611,94,David Wilson
1080,Condo,Ballard,1081353,1080407,101,David Miller
1081,House,South Lake Union,1431004,1550040,35,Chris Smith
1082,Apartment,Ballard,318425,325497,32,Tom Taylor
1083,Apartment,Ballard,334369,363551,52,Emily Jones
1084,Apartment,Downtown,453747,542646,45,David Williams
1085,House,West Seattle,339803,352173,24,Mike Brown
1086,Apartment,Downtown,1041658,1103531,85,David Wilson
1087,Condo,Capitol Hill,1192917,1230520,108,Lisa Johnson
1088,Apartment,Northgate,1005539,1176621,7,Emily Wilson
1089,Apartment,Capitol Hill,964799,1087502,104,David Wilson
1090,Apartment,Beacon Hill,334915,314346,101,Sarah Moore
1091,Apartment,West Seattle,703505,727143,3,Sarah Moore
1092,Apartment,South Lake Union,460371,445744,54,Tom Davis
1093,House,Northgate,527522,563867,58,Lisa Miller
1094,House,Northgate,718979,775154,100,Mike Smith
1095,Condo,Ballard,391794,459642,49,Emily Smith
1096,House,Ballard,895105,926094,99,Chris Miller
1097,Condo,South Lake Union,788571,775522,81,Laura Davis
1098,Apartment,Northgate,400559,416784,17,Laura Miller
1099,Apartment,Beacon Hill,1171157,1115243,78,Mike Williams
1100,House,Ballard,1485412,1522558,26,Tom Williams
1101,Apartment,Beacon Hill,674432,788733,51,Tom Taylor
1102,Condo,South Lake Union,1284198,1473487,108,Lisa Johnson
1103,Apartment,Capitol Hill,773682,874402,86,Mike Davis
1104,Condo,Northgate,611843,591330,90,Sarah Johnson
1105,Condo,Capitol Hill,314547,354106,7,Sarah Moore
1106,House,Capitol Hill,448034,422857,76,Mike Davis
1107,Apartment,Capitol Hill,494840,456817,92,Jane Smith
1108,Condo,South Lake Union,1269783,1162215,11,David Davis
1109,House,Downtown,1295926,1464913,37,Mike Moore
1110,House,Beacon Hill,1466600,1501991,40,Emily Brown
1111,Apartment,Beacon Hill,360817,403002,51,David Johnson
1112,Condo,South Lake Union,371314,373811,69,Mike Miller
1113,Condo,West Seattle,1014170,923591,24,Sarah Wilson
1114,Condo,Beacon Hill,1225203,1145116,24,John Williams
1115,House,Downtown,791426,717316,18,Mike Smith
1116,House,Beacon Hill,592491,576287,18,Lisa Johnson
1117,Condo,Northgate,377607,353916,6,Jane Johnson
1118,Condo,Capitol Hill,521643,505011,61,Laura Williams
1119,Condo,Northgate,616976,692321,71,David Williams
1120,House,Ballard,646285,660981,17,Lisa Moore
1121,Condo,Northgate,426302,443228,48,Lisa Moore
1122,Condo,West Seattle,850641,861009,117,Sarah Moore
1123,Condo,Downtown,907192,988056,13,Laura Johnson
1124,Condo,South Lake Union,927457,1103587,14,Chris Smith
1125,Condo,Capitol Hill,1279052,1321920,83,Chris Miller
1126,Condo,West Seattle,504571,562232,86,John Davis
1127,House,Downtown,1417166,1485702,104,Laura Brown
1128,House,Northgate,1044542,1113570,111,Tom Taylor
1129,House,Downtown,1262617,1509145,53,Lisa Miller
1130,Apartment,Beacon Hill,536267,586745,87,Tom Davis
1131,Apartment,Beacon Hill,650974,772809,29,Laura Brown
1132,Condo,Beacon Hill,632484,682605,86,Laura Johnson
1133,House,Northgate,520719,505579,33,Tom Williams
1134,Condo,South Lake Union,1397050,1342224,88,Mike Miller
1135,House,Ballard,479044,564910,106,Mike Smith
1136,Condo,Ballard,542529,502863,79,Mike Johnson
1137,Apartment,Northgate,1095330,1093582,77,Emily Davis
1138,Condo,Ballard,738787,669287,94,Emily Jones
1139,House,Ballard,873661,898849,118,Mike Moore
1140,House,South Lake Union,1047335,1007062,107,David Miller
1141,Condo,South Lake Union,954250,873065,19,Emily Williams
1142,Condo,West Seattle,1400743,1271541,93,Tom Taylor
1143,Apartment,Ballard,764820,774492,43,Jane Brown
1144,House,Downtown,832356,863095,107,Emily Jones
1145,Apartment,Beacon Hill,895479,959480,54,David Miller
1146,Apartment,South Lake Union,1254065,1142393,51,David Johnson
1147,Apartment,Downtown,920140,897314,89,Jane Johnson
1148,Condo,Beacon Hill,519391,554211,29,Mike Miller
1149,Condo,Beacon Hill,1486518,1644558,116,Laura Smith
1150,Condo,South Lake Union,585816,651900,116,Lisa Miller
1151,Condo,Downtown,531928,595805,19,John Wilson
1152,Apartment,West Seattle,1399387,1442290,35,Emily Williams
1153,House,Beacon Hill,873221,1042644,23,Lisa Johnson
1154,Apartment,Ballard,666714,738903,65,Tom Wilson
1155,Condo,West Seattle,544782,589225,62,David Davis
1156,House,Downtown,709771,750555,86,Tom Wilson
1157,Condo,South Lake Union,595354,596891,57,Mike Miller
1158,Apartment,Downtown,748409,723677,90,Chris Taylor
1159,Apartment,Downtown,445825,445996,67,Tom Taylor
1160,Apartment,West Seattle,886651,1046132,102,Mike Moore
1161,Apartment,Ballard,967458,893641,46,Mike Miller
1162,Apartment,Beacon Hill,1360158,1445660,40,Chris Smith
1163,Apartment,Beacon Hill,769234,782573,21,Chris Smith
1164,House,Downtown,526053,559697,35,Tom Jones
1165,House,Capitol Hill,1085454,1064017,96,Sarah Moore
1166,Condo,Northgate,628941,670615,112,Emily Brown
1167,Condo,Northgate,1486633,1753371,52,Mike Moore
1168,House,Downtown,1302727,1380618,88,Chris Taylor
1169,House,Downtown,601700,701420,77,Chris Taylor
1170,Apartment,South Lake Union,537069,496469,85,Mike Williams
1171,Condo,Northgate,1186074,1265663,43,Laura Moore
1172,Condo,Ballard,1068759,1107293,104,David Miller
1173,House,Ballard,1350751,1227389,83,Mike Miller
1174,House,Capitol Hill,566627,581524,119,Sarah Taylor
1175,House,Downtown,1265350,1300569,113,Chris Wilson
1176,House,West Seattle,1178308,1383060,31,David Miller
1177,Condo,Beacon Hill,1474061,1344485,1,Chris Jones
1178,House,South Lake Union,1162127,1191177,34,Mike Smith
1179,Condo,Capitol Hill,1452592,1431621,99,Emily Wilson
1180,Apartment,Northgate,440139,409189,66,Chris Smith
1181,Condo,West Seattle,1304358,1357434,99,David Williams
1182,House,Northgate,686152,765376,53,Tom Taylor
1183,Condo,Downtown,940886,926154,76,David Wilson
1184,Apartment,Capitol Hill,1063081,1208480,107,Lisa Johnson
1185,House,Northgate,1287057,1516941,13,Lisa Johnson
1186,House,South Lake Union,1134660,1054533,84,David Johnson
1187,Apartment,Capitol Hill,1476043,1577483,108,Emily Smith
1188,Condo,West Seattle,1451131,1312694,15,Tom Davis
1189,Condo,Northgate,1087852,1203695,22,Lisa Jones
1190,Condo,Downtown,1133742,1293734,107,Tom Taylor
1191,House,West Seattle,1097997,1286621,110,Sarah Taylor
1192,House,Ballard,568512,525669,48,Mike Jones
1193,Apartment,Beacon Hill,978268,997073,77,Tom Williams
1194,House,Capitol Hill,1023922,1189218,37,Chris Miller
1195,House,South Lake Union,619676,696329,100,Tom Wilson
1196,Apartment,Capitol Hill,891631,951940,32,Lisa Jones
1197,House,South Lake Union,617629,712633,88,Sarah Williams
1198,Condo,Northgate,476040,510465,113,Laura Taylor
1199,Condo,Northgate,523023,530222,90,Jane Taylor
1200,Condo,Ballard,523798,501292,110,Lisa Moore
1201,Condo,Northgate,933727,1009154,83,Lisa Davis
1202,Apartment,West Seattle,803838,911864,16,Chris Wilson
1203,Apartment,West Seattle,1027645,953001,103,Sarah Taylor
1204,Condo,Ballard,919164,1027654,113,Laura Johnson
1205,Apartment,Capitol Hill,1222957,1352191,87,Jane Taylor
1206,House,West Seattle,434035,496840,35,Laura Jones
1207,Apartment,Northgate,524254,589976,55,David Wilson
1208,House,Downtown,507613,539447,54,Lisa Johnson
1209,Condo,South Lake Union,1374347,1248319,37,Lisa Moore
1210,House,Ballard,1373847,1624468,71,John Brown
1211,Condo,Beacon Hill,1471314,1629209,100,Emily Davis
1212,Condo,Ballard,695766,741770,118,Laura Davis
1213,Condo,Beacon Hill,699237,744315,6,Emily Johnson
1214,House,Downtown,430011,429606,107,Mike Moore
1215,Apartment,Ballard,818895,820160,47,Lisa Jones
1216,Condo,West Seattle,790060,769427,116,Jane Smith
1217,Apartment,Ballard,1045622,980973,53,David Johnson
1218,Condo,West Seattle,481909,539339,81,Tom Jones
1219,Condo,West Seattle,339810,321427,82,Tom Jones
1220,Condo,Downtown,743427,817290,29,Lisa Jones
1221,Condo,Capitol Hill,1121852,1311422,7,Lisa Wilson
1222,Condo,West Seattle,716673,761450,71,Tom Jones
1223,Apartment,Ballard,1021548,1187202,23,Jane Davis
1224,Condo,Ballard,1487075,1526041,80,Jane Johnson
1225,Apartment,West Seattle,427355,483938,99,Emily Jones
1226,Apartment,Northgate,792616,893651,110,Emily Davis
1227,House,South Lake Union,860950,913084,32,David Davis
1228,Apartment,South Lake Union,1320487,1319235,8,David Wilson
1229,Condo,Northgate,893805,1057265,64,Emily Davis
1230,Condo,Beacon Hill,336937,371738,51,Emily Smith
1231,House,Ballard,1499617,1648423,105,Emily Miller
1232,Condo,Beacon Hill,888825,804863,86,Laura Jones
1233,Condo,South Lake Union,1062732,1022554,35,David Smith
1234,Apartment,Northgate,522550,519090,99,Jane Davis
1235,Apartment,Northgate,849899,895461,85,Chris Smith
1236,House,West Seattle,1021582,1145950,96,Chris Smith
1237,House,Northgate,739024,719971,69,Emily Jones
1238,House,South Lake Union,478709,440318,72,Emily Wilson
1239,Apartment,Downtown,1219930,1168930,64,Sarah Taylor
1240,Condo,Ballard,1112058,1204176,108,Laura Smith
1241,Apartment,South Lake Union,1008292,1170981,10,David Williams
1242,Apartment,Northgate,792206,849631,101,Lisa Smith
1243,Condo,Ballard,1271958,1333223,13,Emily Miller
1244,Condo,Downtown,480007,523499,73,Mike Jones
1245,Apartment,South Lake Union,923551,1101973,69,Emily Davis
1246,Apartment,Capitol Hill,376144,383994,63,Lisa Brown
1247,Apartment,Downtown,1158761,1101584,68,David Davis
1248,House,West Seattle,733844,683015,88,Emily Johnson
1249,Apartment,West Seattle,677337,624226,88,David Wilson
1250,House,Beacon Hill,677317,630861,30,Emily Jones
1251,Apartment,Northgate,486680,583131,80,Sarah Taylor
1252,House,West Seattle,1498369,1424432,120,Laura Moore
1253,House,Downtown,1470072,1336540,74,Tom Wilson
1254,Condo,Downtown,1448642,1422878,102,Sarah Williams
1255,Condo,Ballard,1072283,1198279,106,David Brown
1256,Apartment,West Seattle,1092233,1034631,70,Sarah Taylor
1257,House,South Lake Union,1232058,1306991,108,David Davis
1258,Condo,Northgate,349700,406563,50,Laura Jones
1259,Condo,South Lake Union,1003496,1029795,103,Lisa Johnson
1260,Condo,South Lake Union,1010285,950401,50,Mike Taylor
1261,Condo,Northgate,533335,624001,44,Lisa Jones
1262,Apartment,Beacon Hill,867785,848651,41,Jane Williams
1263,House,Beacon Hill,444057,466882,118,David Davis
1264,House,Beacon Hill,1222178,1151076,47,Mike Johnson
1265,Condo,Beacon Hill,913463,1075658,96,Chris Johnson
1266,Condo,Ballard,1052930,1016007,75,Mike Miller
1267,Condo,Capitol Hill,1182705,1245240,71,Chris Wilson
1268,House,Ballard,437099,449704,27,Mike Johnson
1269,Condo,Capitol Hill,320969,300578,46,David Miller
1270,Apartment,West Seattle,1490610,1783607,107,Mike Jones
1271,Condo,Ballard,1088668,1117879,76,Tom Jones
1272,House,Northgate,336655,330447,17,David Williams
1273,Condo,South Lake Union,1240047,1231925,40,David Miller
1274,Apartment,Northgate,583149,530876,68,Tom Williams
1275,Condo,Downtown,1481147,1353056,60,Chris Moore
1276,House,Beacon Hill,585946,557312,94,David Davis
1277,Apartment,Beacon Hill,318072,361037,12,Laura Williams
1278,Apartment,Ballard,964485,876382,62,Jane Brown
1279,Apartment,West Seattle,1155328,1061293,98,Emily Davis
1280,Apartment,Capitol Hill,759870,833175,1,Sarah Jones
1281,House,Ballard,975301,884075,54,Tom Jones
1282,House,Ballard,754336,716108,86,Mike Johnson
1283,Condo,Ballard,460340,537883,23,David Williams
1284,Apartment,Beacon Hill,507100,457876,92,Chris Johnson
1285,Condo,Capitol Hill,1460563,1706301,63,Chris Miller
1286,Apartment,Northgate,502986,495281,68,Tom Taylor
1287,House,Beacon Hill,592700,666908,43,Chris Smith
1288,House,West Seattle,660192,704487,89,Tom Moore
1289,House,South Lake Union,1186205,1275306,116,John Moore
1290,House,Ballard,799270,888880,4,Chris Brown
1291,House,Ballard,1209190,1183787,102,Lisa Moore
1292,Condo,West Seattle,813179,963080,74,David Williams
1293,Condo,West Seattle,717180,727736,33,Tom Jones
1294,Condo,South Lake Union,303184,279766,13,Mike Davis
1295,House,Capitol Hill,546475,542576,52,Mike Taylor
1296,Condo,West Seattle,1325202,1334954,108,Jane Davis
1297,Apartment,Capitol Hill,783182,768193,30,John Taylor
1298,House,Capitol Hill,390953,424382,45,Sarah Taylor
1299,Apartment,Northgate,386426,390303,11,Emily Brown
1300,Condo,Downtown,1155759,1239622,47,Laura Wilson
1301,Apartment,Beacon Hill,469681,535008,80,Mike Williams
1302,Apartment,South Lake Union,1134225,1283347,44,David Davis
1303,House,West Seattle,1429326,1374575,22,Lisa Brown
1304,Apartment,Northgate,704970,674341,51,David Miller
1305,Apartment,Northgate,692534,698817,86,Mike Davis
1306,Apartment,Northgate,1091100,1210288,64,Mike Taylor
1307,Condo,Downtown,915857,1037009,49,Lisa Johnson
1308,Apartment,Capitol Hill,1424254,1298121,48,Lisa Johnson
1309,House,South Lake Union,744427,727814,31,Mike Moore
1310,Apartment,Beacon Hill,1499391,1646434,80,Laura Jones
1311,Condo,West Seattle,1113018,1168028,47,Emily Wilson
1312,Apartment,Northgate,1171822,1389332,62,Chris Jones
1313,Condo,South Lake Union,1125996,1324555,120,Chris Smith
1314,Condo,Ballard,304874,328553,43,Sarah Taylor
1315,House,West Seattle,1158630,1341000,106,Mike Moore
1316,Condo,West Seattle,620988,697838,10,Emily Miller
1317,House,Capitol Hill,493368,589766,16,Sarah Williams
1318,Apartment,Beacon Hill,749705,723500,120,John Moore
1319,House,West Seattle,1334420,1495121,92,Emily Johnson
1320,House,Beacon Hill,1068629,1097943,80,Chris Wilson
1321,Condo,Downtown,1246121,1335460,5,Emily Wilson
1322,Apartment,Northgate,1211150,1163931,80,Sarah Taylor
1323,Condo,Capitol Hill,567463,572611,112,Laura Smith
1324,Condo,Capitol Hill,328903,379015,94,Emily Wilson
1325,Condo,Beacon Hill,1070241,1245147,113,Chris Miller
1326,Apartment,Downtown,1202309,1205421,108,Jane Smith
1327,Apartment,Capitol Hill,737267,768528,66,Emily Johnson
1328,Condo,Northgate,358270,367440,29,Chris Miller
1329,House,Ballard,1336181,1378864,80,Jane Brown
1330,House,Ballard,642281,611008,48,David Davis
1331,Condo,Ballard,654008,735370,19,Sarah Taylor
1332,House,Capitol Hill,1299901,1418951,16,Sarah Taylor
1333,House,Downtown,547188,542801,50,Mike Smith
1334,Condo,West Seattle,1189971,1145567,65,Laura Johnson
1335,Apartment,Beacon Hill,1272771,1212373,24,Sarah Moore
1336,House,South Lake Union,616161,608669,60,Mike Smith
1337,Apartment,Capitol Hill,1361978,1335565,101,Sarah Taylor
1338,House,Capitol Hill,919143,963414,107,Chris Smith
1339,House,West Seattle,1147148,1271384,13,Chris Williams
1340,Condo,Downtown,1005664,935436,50,Emily Jones
1341,Apartment,South Lake Union,1083944,1171795,18,David Taylor
1342,Condo,South Lake Union,1470956,1698337,103,David Wilson
1343,Apartment,Downtown,942959,939503,10,Tom Davis
1344,House,Capitol Hill,1188311,1424951,86,Laura Moore
1345,Apartment,Downtown,445015,425957,117,Chris Brown
1346,Apartment,Northgate,1263521,1370681,47,Emily Davis
1347,Condo,Northgate,1180321,1077550,19,Chris Moore
1348,House,Capitol Hill,1166039,1181909,41,Laura Williams
1349,Condo,Beacon Hill,508263,539655,110,Emily Moore
1350,Condo,West Seattle,858588,845922,70,Tom Davis
1351,House,Capitol Hill,1041252,1115698,78,David Williams
1352,Condo,South Lake Union,1100857,1312245,36,David Wilson
1353,Condo,Downtown,364204,386470,62,Laura Moore
1354,House,Capitol Hill,333552,341379,27,Tom Davis
1355,Apartment,Beacon Hill,1103962,1130442,5,Emily Smith
1356,Condo,Downtown,1079154,973035,105,Laura Moore
1357,Apartment,West Seattle,565855,551011,7,Chris Johnson
1358,Condo,Ballard,1077767,1123385,81,Tom Smith
1359,House,Downtown,548864,503258,102,Laura Moore
1360,Condo,Ballard,397672,432223,71,John Davis
1361,Apartment,Downtown,738915,700740,69,Mike Taylor
1362,House,South Lake Union,1106568,1245798,82,Emily Moore
1363,House,West Seattle,1422319,1347188,7,Laura Johnson
1364,House,South Lake Union,1280332,1201746,43,Jane Johnson
1365,Condo,Downtown,627169,586568,106,Mike Moore
1366,Condo,Northgate,1396273,1491541,49,Lisa Smith
1367,Apartment,Ballard,1020804,1170068,105,David Williams
1368,House,Beacon Hill,412170,384204,114,Mike Wilson
1369,House,South Lake Union,827223,769318,32,Laura Moore
1370,Condo,South Lake Union,698959,815709,4,Laura Brown
1371,Condo,Northgate,1472773,1590494,105,David Taylor
1372,Condo,Downtown,526992,555328,115,Tom Williams
1373,House,Beacon Hill,486019,554385,66,John Miller
1374,House,South Lake Union,629765,696553,16,Tom Williams
1375,House,Beacon Hill,1431861,1437149,70,John Miller
1376,Apartment,South Lake Union,836428,980307,102,Mike Moore
1377,Condo,Ballard,1483927,1520841,45,Chris Brown
1378,Apartment,Northgate,1076032,1177819,36,Sarah Smith
1379,Condo,Ballard,1186609,1097569,48,David Miller
1380,Apartment,South Lake Union,671579,800997,30,Mike Moore
1381,Apartment,Ballard,402265,456259,65,Chris Miller
1382,Condo,Northgate,1035802,1097145,113,Mike Johnson
1383,Condo,Beacon Hill,1083037,1014590,107,Jane Williams
1384,Apartment,South Lake Union,1323096,1531682,28,Tom Jones
1385,Condo,Downtown,665860,743176,108,Lisa Brown
1386,House,South Lake Union,300821,348020,72,Chris Jones
1387,Condo,Northgate,1043302,955557,36,David Williams
1388,Condo,South Lake Union,1476375,1422428,59,Tom Williams
1389,Condo,Beacon Hill,745373,694289,32,Emily Smith
1390,Condo,Beacon Hill,1289556,1163364,78,Chris Brown
1391,House,Beacon Hill,519347,578755,104,Mike Moore
1392,House,South Lake Union,425890,489993,19,Laura Davis
1393,Apartment,Capitol Hill,846509,946330,95,Emily Davis
1394,Condo,Downtown,632601,622089,55,Tom Jones
1395,House,South Lake Union,868625,838052,98,Sarah Williams
1396,Apartment,Beacon Hill,849444,1015085,35,Laura Miller
1397,Condo,Beacon Hill,523176,590042,52,Mike Williams
1398,House,Capitol Hill,1043383,1212163,89,Lisa Johnson
1399,House,Downtown,373691,348394,111,Chris Smith
1400,Apartment,South Lake Union,324017,379097,17,Tom Taylor
1401,Condo,South Lake Union,975998,961151,82,Chris Smith
1402,Apartment,Capitol Hill,583265,613202,78,Laura Davis
1403,House,Beacon Hill,1023708,1196419,14,John Moore
1404,Condo,Capitol Hill,1318187,1531817,4,Sarah Moore
1405,Condo,Northgate,670738,685889,9,Laura Jones
